---,CropsMeshes,HeatMinThreshold,HeatMaxThreshold,HeatSlowdownMultiplier,HumidityMinThreshold,HumidityMaxThreshold,HumiditySlowdownMultiplier,bUseGrowthBoost,bIsDay,bIsNight,bUseFertilizer,HeatMinValue,HeatMaxValue,HumidityMinValue,HumidityMaxValue,AccelerationMultiplier,GrowthRate
Tomato,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Tomato_01a.SM_Tomato_01a'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Tomato_02a.SM_Tomato_02a'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Tomato_03a.SM_Tomato_03a'"")","10","35","0.800000","0","90","0.600000","True","True","False","False","0","0","0","0","1.100000","80"
Onion,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Onion_01.SM_Onion_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Onion_02.SM_Onion_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Onion_03a.SM_Onion_03a'"")","5","25","0.900000","20","80","0.700000","True","False","False","True","0","0","0","0","1.400000","120"
Carrot,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Carrot_01.SM_Carrot_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Carrot_02.SM_Carrot_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Carrot_03.SM_Carrot_03'"")","0","30","0.700000","0","70","0.800000","True","False","False","True","0","0","0","0","1.400000","140"
Watermelon,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Watermelon_01.SM_Watermelon_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Watermelon_02.SM_Watermelon_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Watermelon_03.SM_Watermelon_03'"")","20","70","0.600000","0","60","0.600000","True","True","False","False","40","999","0","0","1.300000","100"
Cabbage,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Cabbage_01.SM_Cabbage_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Cabbage_02.SM_Cabbage_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Cabbage_03.SM_Cabbage_03'"")","-10","20","0.700000","60","90","0.800000","True","False","False","False","-999","10","0","0","1.100000","60"
Pumpkin,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Pumpkin_01.SM_Pumpkin_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Pumpkin_02.SM_Pumpkin_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Pumpkin_03.SM_Pumpkin_03'"")","10","35","0.500000","50","80","0.500000","False","False","False","False","0","0","0","0","0.000000","120"
Corn,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_CornPlant_01.SM_CornPlant_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_CornPlant_02.SM_CornPlant_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_CornPlant_03.SM_CornPlant_03'"")","15","45","0.700000","50","80","0.600000","False","False","False","False","0","0","0","0","0.000000","80"
Cucumber,"(""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Cucumber_01.SM_Cucumber_01'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Cucumber_02.SM_Cucumber_02'"",""/Script/Engine.StaticMesh'/Game/FarmCrops/Meshes/Crops/SM_Cucumber_03.SM_Cucumber_03'"")","0","35","0.700000","60","999","0.600000","True","False","False","False","0","0","100","999","1.200000","90"
FuelPlant,"","25","999","0.500000","0","70","0.600000","True","False","False","False","0","0","-999","30","1.300000","180"
ChiliPepper,"","25","90","0.700000","0","25","0.600000","True","True","False","False","0","0","0","0","1.100000","100"
CoolingHerb,"","-999","20","0.600000","25","100","0.800000","True","False","True","False","0","0","0","0","1.200000","140"
RainproofLeaf,"","10","30","0.700000","80","999","0.500000","True","False","False","False","0","0","100","999","1.300000","120"
Mushroom,"(""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom02_Small.SM_Shroom02_Small'"",""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom02.SM_Shroom02'"")","10","25","0.900000","60","999","0.600000","False","False","False","False","0","0","0","0","0.000000","100"
RedMushroom,"(""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom01_Small.SM_Shroom01_Small'"",""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom01.SM_Shroom01'"")","40","999","0.500000","0","10","0.600000","True","False","False","False","70","999","0","0","1.200000","120"
FuelMushroom,"(""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom06_Small.SM_Shroom06_Small'"",""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom06.SM_Shroom06'"")","15","30","0.700000","80","999","0.800000","True","False","False","False","0","0","95","999","1.200000","160"
SpongeMushroom,"(""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom05_Small.SM_Shroom05_Small'"",""/Script/Engine.StaticMesh'/Game/FantasyMushroomPack/Meshes/SM_Shroom05.SM_Shroom05'"")","20","999","0.600000","0","90","0.500000","True","False","False","False","0","0","-999","40","1.200000","140"
