---,SkillName,AttackType,SkillMontage,Damage,Cooldown,Range,StunGauge,bAllowMultipleHits,bUseWeaponCollision,bUseBodyCollision,BodyDamage,BodyStunt
ThrowingStones,"ThrowingStones","Ranged","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute1_ThrowingStones.AM_LavaBrute1_ThrowingStones'","2800.000000","1.000000","0.000000","800.000000","False","False","False","0.000000","0.000000"
EarthRumbling,"EarthRumbling","Ranged","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute2_EarthRumbling.AM_LavaBrute2_EarthRumbling'","2100.000000","1.000000","0.000000","1000.000000","False","False","False","0.000000","0.000000"
ShoulderTackle,"ShoulderTackle","Moving","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute3_ShoulderTackle.AM_LavaBrute3_ShoulderTackle'","0.000000","1.000000","0.000000","0.000000","False","False","True","2800.000000","1000.000000"
LavaBreath,"LavaBreath","Ranged","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute4_Breath.AM_LavaBrute4_Breath'","1750.000000","1.000000","0.000000","250.000000","True","False","False","0.000000","0.000000"
CreateLava,"CreateLava","Ranged","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute5_CreateLava.AM_LavaBrute5_CreateLava'","1750.000000","1.000000","0.000000","1200.000000","False","False","False","0.000000","0.000000"
GroundSmash,"GroundSmash","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute6_GroundSmash.AM_LavaBrute6_GroundSmash'","2800.000000","1.000000","0.000000","1200.000000","False","False","True","1400.000000","500.000000"
SmashTwice,"SmashTwice","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute7_SmashTwice.AM_LavaBrute7_SmashTwice'","2100.000000","1.000000","0.000000","500.000000","False","False","True","700.000000","500.000000"
HeavyPushLA,"HeavyPushLA","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute8_HeavyPushLA.AM_LavaBrute8_HeavyPushLA'","0.000000","1.000000","0.000000","0.000000","False","False","True","2000.000000","500.000000"
HeavySlapHand,"HeavySlapHand","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute8_HeavySlapHand.AM_LavaBrute8_HeavySlapHand'","0.000000","1.000000","0.000000","0.000000","False","False","True","2000.000000","500.000000"
HeavySmash,"HeavySmash","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute8_HeavySmash.AM_LavaBrute8_HeavySmash'","2800.000000","1.000000","0.000000","800.000000","False","False","True","1500.000000","500.000000"
LightSpike,"LightSpike","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute9_LightSpike.AM_LavaBrute9_LightSpike'","0.000000","1.000000","0.000000","0.000000","False","False","True","1500.000000","250.000000"
LightSwingLA,"LightSwingLA","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute9_LightSwingLA.AM_LavaBrute9_LightSwingLA'","0.000000","1.000000","0.000000","0.000000","False","False","True","1500.000000","250.000000"
LightSwingRA,"LightLeftSwing","Melee","/Script/Engine.AnimMontage'/Game/CR4S/_Blueprint/MonsterAI/BossMonster/Region/LavaBrute/Animations/AM_LavaBrute9_LightSwingRA.AM_LavaBrute9_LightSwingRA'","0.000000","1.000000","0.000000","0.000000","False","False","True","1500.000000","250.000000"
