---,Handle,Name,Class,Icon,bIsVisibleInWidget,Description,StaticMesh,DestructibleClass,MaxDurability,CanBeDamaged,UseMeshSockets,CorrectMeshTransform,BuildingRequirements,DestructRequirements,UpgradeObject,UpgradeRequirements,RepairRequirements
Stylized_Campfire,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Campfire"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""8C3F41F04681316EFD1CA8A37259CD44"", ""Campfire"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Placeable/BP_EBS_Building_Campfire.BP_EBS_Building_Campfire_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Props/T_Icon_Stylized_Campfire.T_Icon_Stylized_Campfire',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""EA6A396B411B598053DB8F8324950B9A"", ""Perfect for cooking meat, staying warm, and providing light."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Props/Stylized/SM_Stylized_Campfire.SM_Stylized_Campfire',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Campfire.BP_EBS_Chaos_Stylized_Campfire_C',7000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=None,RowName="""")","(DataTable=None,RowName="""")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_DoorLock,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_DoorLock"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""A9A07C1C43345E138BA96A8DA73A2AE2"", ""Door Lock"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Placeable/BP_EBS_Building_DoorLock.BP_EBS_Building_DoorLock_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Props/T_Icon_Stylized_DoorLock.T_Icon_Stylized_DoorLock',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""73186B1B4E56F93963129EBC9D6F1DED"", ""Restricts access to the door for not authorized players."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Props/Stylized/SM_Stylized_DoorLock.SM_Stylized_DoorLock',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Doorlock.BP_EBS_Chaos_Stylized_Doorlock_C',7000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=None,RowName="""")","(DataTable=None,RowName="""")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_CodeLock,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_CodeLock"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""4F219E52475C2B44FE5EA7ACABC63162"", ""Code Lock"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Placeable/BP_EBS_Building_CodeLock.BP_EBS_Building_CodeLock_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Props/T_Icon_Stylized_CodeLock.T_Icon_Stylized_CodeLock',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""1D85966B4C72FEEB8B815AB196EA2A59"", ""Restricts access to the door for not authorized players."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Props/Stylized/SM_Stylized_CodeLock.SM_Stylized_CodeLock',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Codelock.BP_EBS_Chaos_Stylized_Codelock_C',7000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=None,RowName="""")","(DataTable=None,RowName="""")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Torch,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Torch"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""2F1BF172408D5CE31EA8EA8359B42AFE"", ""Torch"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Placeable/BP_EBS_Building_Torch.BP_EBS_Building_Torch_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Props/T_Icon_Stylized_Torch.T_Icon_Stylized_Torch',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""63420FD646CAF811203F8097E8BCC935"", ""A torch on a connector that lights the immediate area. Must be placed on a wall."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Props/Stylized/SM_Stylized_Torch.SM_Stylized_Torch',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Torch.BP_EBS_Chaos_Stylized_Torch_C',7000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=None,RowName="""")","(DataTable=None,RowName="""")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Bed,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Bed"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""589AA1C442FAB79968386D8DBBDA2494"", ""Bed"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Placeable/BP_EBS_Building_Bed.BP_EBS_Building_Bed_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Props/T_Icon_Stylized_Bed.T_Icon_Stylized_Bed',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""FE8FF49647F6BC88A4CE80A12DA9E813"", ""This bed may not make the most comfortable, but this one acts as a respawn point for you."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Props/Stylized/SM_Stylized_Bed.SM_Stylized_Bed',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Bed.BP_EBS_Chaos_Stylized_Bed_C',7000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=None,RowName="""")","(DataTable=None,RowName="""")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Wooden_Foundation,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Wooden_Foundation"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""64D062E648B975459BF167821F43ACC3"", ""Wooden Foundation"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Modular/BP_EBS_Building_Foundation.BP_EBS_Building_Foundation_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Wood/T_Icon_Stylized_Wood_Foundation.T_Icon_Stylized_Wood_Foundation',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""C748EB5A4B4318AF898710984C3513F7"", ""Required to build structures in an area. Square shape."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Structures/Stylized/Wood/SM_Stylized_Wood_Foundation.SM_Stylized_Wood_Foundation',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Wood_Foundation.BP_EBS_Chaos_Stylized_Wood_Foundation_C',7000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Stone_Foundation"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Stone"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Wooden_Foundation_Triangle,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Wooden_Foundation_Triangle"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""566291BD42C06B6EC2848FAC240A1F24"", ""Wooden Triangle Foundation"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Modular/BP_EBS_Building_Foundation_Triangle.BP_EBS_Building_Foundation_Triangle_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Wood/T_Icon_Stylized_Wood_Tri_Foundation.T_Icon_Stylized_Wood_Tri_Foundation',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""21AA569B45C26BD236AF3D92F77310D2"", ""Required to build structures in an area. Triangle shape."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Structures/Stylized/Wood/SM_Stylized_Wood_Triangle_Foundation.SM_Stylized_Wood_Triangle_Foundation',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Wood_Foundation_Triangle.BP_EBS_Chaos_Stylized_Wood_Foundation_Triangle_C',10000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Stone_Foundation_Triangle"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Stone"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Wooden_Ramp,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Wooden_Ramp"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""67B6E9F9458A14398F0C3797B5361E5C"", ""Wooden Ramp"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Modular/BP_EBS_Building_Ramp.BP_EBS_Building_Ramp_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Wood/T_Icon_Stylized_Wood_Ramp.T_Icon_Stylized_Wood_Ramp',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""EE3F9E0E430E0BE8F59590BE9A738C82"", ""An inclined ramp for travelling up or down."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Structures/Stylized/Wood/SM_Stylized_Wood_Ramp.SM_Stylized_Wood_Ramp',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Wood_Ramp.BP_EBS_Chaos_Stylized_Wood_Ramp_C',10000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Stone_Ramp"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Stone"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Wooden_Wall,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Wooden_Wall"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""0D31C6804D0DF00C78A6A09DA8114A87"", ""Wooden Wall"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Modular/BP_EBS_Building_Wall.BP_EBS_Building_Wall_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Wood/T_Icon_Stylized_Wood_Wall.T_Icon_Stylized_Wood_Wall',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""F4BEE3A049E5519118F78F8DC7FBF86D"", ""A wall that insulates the inside from the outside, separates rooms, and provides structural integrity."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Structures/Stylized/Wood/SM_Stylized_Wood_Wall.SM_Stylized_Wood_Wall',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Wood_Wall.BP_EBS_Chaos_Stylized_Wood_Wall_C',10000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Stone_Wall"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Stone"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
Stylized_Wooden_Doorframe,"(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Wooden_Doorframe"")","NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""9A58558944CF612F7A02218E5D907F8F"", ""Wooden Door Frame"")",/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Modular/BP_EBS_Building_DoorFrame.BP_EBS_Building_DoorFrame_C',/Script/Engine.Texture2D'/Game/EasyBuildingSystem/Textures/Icons/Stylized/Wood/T_Icon_Stylized_Wood_Doorframe.T_Icon_Stylized_Wood_Doorframe',TRUE,"NSLOCTEXT(""[B37FB4AB4AAFE1836B2005AFDC42A496]"", ""113065F94373AB60EA8185A5039711F0"", ""A wall that provides entrance to a structure."")",/Script/Engine.StaticMesh'/Game/EasyBuildingSystem/Meshes/Structures/Stylized/Wood/SM_Stylized_Wood_Doorframe.SM_Stylized_Wood_Doorframe',/Script/Engine.BlueprintGeneratedClass'/Game/EasyBuildingSystem/Blueprints/BuildingObjects/Chaos/Stylized/BP_EBS_Chaos_Stylized_Wood_DoorFrame.BP_EBS_Chaos_Stylized_Wood_DoorFrame_C',10000,TRUE,FALSE,"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Destruct_Wood"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_BuildingObjects.DT_EBS_BuildingObjects'"",RowName=""Stylized_Stone_Doorframe"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Build_Stone"")","(DataTable=""/Script/Engine.DataTable'/Game/EasyBuildingSystem/Blueprints/DataTables/DT_EBS_Requirements.DT_EBS_Requirements'"",RowName=""Repair_Wood"")"
